Cycle #, Lineage 1 Score, Lineage 2 Score, Lineage 3 Score, Lineage 4 Score, Lineage 5 Score, Lineage 6 Score, Lineage 7 Score, Lineage 8 Score,
0, 210100, 3565600, 511200, 482400, 1172700, 10257900, 1532300, 4970900,
1.0, 210100, 333500, 372900, 461000, 727300, 662700, 1306000, 4854800,
2.0, 210100, 333500, 372900, 461000, 727300, 474700, 1222800, 1417200,
3.0, 210100, 333500, 242000, 433200, 570100, 382300, 813900, 367100,
4.0, 210100, 333500, 237900, 398000, 570100, 382300, 813900, 367100,
5.0, 195800, 333500, 237900, 398000, 570100, 382300, 813900, 367100,
6.0, 195800, 273700, 237900, 398000, 570100, 382300, 813900, 367100,
7.0, 195800, 273700, 237900, 398000, 443500, 382300, 700900, 367100,
8.0, 195800, 273700, 237900, 398000, 368100, 294900, 700900, 367100,
9.0, 195800, 273700, 237900, 371600, 368100, 294900, 531900, 367100,
10.0, 195800, 232000, 237900, 199100, 368100, 294900, 531900, 298000,
20.0, 154800, 215200, 237900, 190800, 367100, 254500, 388800, 297000,
30.0, 154800, 197200, 219600, 190800, 291500, 205000, 275700, 208100,
40.0, 154800, 197200, 219600, 171000, 252200, 205000, 267700, 208100,
50.0, 154800, 197200, 219600, 171000, 223700, 193000, 247500, 208100,
60.0, 154300, 197200, 216700, 171000, 218100, 189000, 247500, 186900,
70.0, 154300, 197200, 214500, 171000, 215700, 189000, 247500, 172500,
80.0, 145200, 193100, 214500, 171000, 215200, 182200, 247500, 172500,
90.0, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 168500,
100.0, 145200, 188300, 199000, 171000, 201900, 182200, 217500, 168500,
200.0, 145200, 176900, 174800, 166600, 169800, 182200, 175900, 157000,
300.0, 145200, 169900, 150400, 163600, 143400, 182200, 171200, 157000,
400.0, 145200, 166300, 149400, 163300, 143400, 182200, 165200, 155500,
500.0, 142200, 162400, 149400, 155300, 143400, 177800, 161200, 155500,
600.0, 142200, 155900, 143400, 152300, 136400, 177800, 161100, 155500,
700.0, 142200, 155900, 143400, 152300, 136400, 173000, 160100, 155500,
800.0, 142200, 155900, 143400, 151300, 133400, 159900, 160100, 155500,
900.0, 137600, 155900, 143400, 150300, 132400, 150900, 147700, 155500,
1000.0, 137600, 155900, 143400, 150300, 132400, 150900, 143700, 155500,
2000.0, 137600, 148400, 142400, 138400, 129400, 145400, 143700, 154500,
3000.0, 133900, 136000, 142400, 131100, 129400, 137000, 143700, 144500,
4000.0, 133900, 136000, 142400, 131100, 129400, 137000, 143700, 144500,
5000.0, 130900, 136000, 142400, 131100, 129400, 135000, 136200, 144500,
6000.0, 130900, 135300, 142400, 131100, 129400, 134100, 136200, 144500,
7000.0, 129200, 135300, 142400, 131100, 129400, 130100, 136200, 144500,
8000.0, 129200, 135300, 142400, 131100, 129400, 130100, 136200, 144500,
9000.0, 129200, 135300, 142400, 131100, 129400, 130100, 136200, 144500,
10000.0, 129200, 135300, 140400, 126800, 129400, 130100, 136200, 144500,
